GAT(
  (gat_layers): ModuleList(
    (0): GATConv(
      (fc): Linear(in_features=500, out_features=64, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
    (1): GATConv(
      (fc): Linear(in_features=64, out_features=24, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
  )
)
Epoch 00000 | Time(s) nan | Loss 1.0983 | TrainAcc 0.3500 | ValAcc 0.4060 | f1-score 0.2920 |ETputs(KTEPS) nan| GPU : 139.7 MB 
Epoch 00040 | Time(s) 0.0141 | Loss 0.8166 | TrainAcc 0.9167 | ValAcc 0.7420 | f1-score 0.7340 |ETputs(KTEPS) 7662.14| GPU : 140.1 MB 
Epoch 00041 | Time(s) 0.0143 | Loss 0.7981 | TrainAcc 0.9000 | ValAcc 0.7420 | f1-score 0.7360 |ETputs(KTEPS) 7588.31| GPU : 140.1 MB 
Epoch 00042 | Time(s) 0.0143 | Loss 0.8015 | TrainAcc 0.8833 | ValAcc 0.7440 | f1-score 0.7200 |ETputs(KTEPS) 7594.10| GPU : 140.1 MB 
Epoch 00043 | Time(s) 0.0143 | Loss 0.7766 | TrainAcc 0.9167 | ValAcc 0.7460 | f1-score 0.7260 |ETputs(KTEPS) 7558.49| GPU : 140.1 MB 
Epoch 00044 | Time(s) 0.0144 | Loss 0.7359 | TrainAcc 0.9000 | ValAcc 0.7460 | f1-score 0.7280 |ETputs(KTEPS) 7533.37| GPU : 140.1 MB 
Epoch 00045 | Time(s) 0.0144 | Loss 0.7619 | TrainAcc 0.9167 | ValAcc 0.7440 | f1-score 0.7140 |ETputs(KTEPS) 7549.56| GPU : 140.1 MB 
Epoch 00046 | Time(s) 0.0143 | Loss 0.7265 | TrainAcc 0.8833 | ValAcc 0.7460 | f1-score 0.7180 |ETputs(KTEPS) 7604.08| GPU : 140.1 MB 
Epoch 00047 | Time(s) 0.0143 | Loss 0.7187 | TrainAcc 0.9333 | ValAcc 0.7480 | f1-score 0.7440 |ETputs(KTEPS) 7568.42| GPU : 140.1 MB 
Epoch 00048 | Time(s) 0.0145 | Loss 0.7063 | TrainAcc 0.9000 | ValAcc 0.7500 | f1-score 0.7400 |ETputs(KTEPS) 7463.28| GPU : 140.1 MB 
Epoch 00049 | Time(s) 0.0146 | Loss 0.7021 | TrainAcc 0.9000 | ValAcc 0.7480 | f1-score 0.7440 |ETputs(KTEPS) 7425.68| GPU : 140.1 MB 
